Data	retencja
22.10.2022	1084
23.10.2022	1423
24.10.2022	1315
25.10.2022	717
26.10.2022	1398
27.10.2022	913
28.10.2022	660
29.10.2022	0
30.10.2022	0
31.10.2022	0
01.11.2022	0
02.11.2022	0
03.11.2022	935
04.11.2022	648
05.11.2022	793
06.11.2022	1276
07.11.2022	1234
08.11.2022	1302
09.11.2022	1316
10.11.2022	1463
11.11.2022	771
12.11.2022	0
13.11.2022	0
14.11.2022	0
15.11.2022	0
16.11.2022	0
17.11.2022	0
18.11.2022	0
19.11.2022	816
20.11.2022	734
21.11.2022	1097
22.11.2022	640
23.11.2022	0
24.11.2022	0
25.11.2022	1066
26.11.2022	670
27.11.2022	0
28.11.2022	0
29.11.2022	0
30.11.2022	0
01.12.2022	0
02.12.2022	0
03.12.2022	0
04.12.2022	0
05.12.2022	29
06.12.2022	46
07.12.2022	0
08.12.2022	0
09.12.2022	0
10.12.2022	0
11.12.2022	0
12.12.2022	0
13.12.2022	145
14.12.2022	0
15.12.2022	0
16.12.2022	24
17.12.2022	0
18.12.2022	0
19.12.2022	45
20.12.2022	97
21.12.2022	0
22.12.2022	22
23.12.2022	0
24.12.2022	0
25.12.2022	0
26.12.2022	135
27.12.2022	0
28.12.2022	153
29.12.2022	0
30.12.2022	0
31.12.2022	144
